id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
593,Delhi,2016-04-23,DD,MI,MI,field,normal,0,DD,10,runs,SV Samson,S Ravi
594,Hyderabad,2016-04-23,KXIP,SRH,SRH,field,normal,0,SRH,5,wickets,Mustafizur Rahman,AK Chaudhary
595,Rajkot,2016-04-24,RCB,GL,RCB,bat,normal,0,GL,6,wickets,V Kohli,K Bharatan
596,Pune,2016-04-24,RPS,KKR,KKR,field,normal,0,KKR,2,wickets,SA Yadav,CB Gaffaney
597,Chandigarh,2016-04-25,MI,KXIP,KXIP,field,normal,0,MI,25,runs,PA Patel,Nitin Menon
598,Hyderabad,2016-04-26,SRH,RPS,RPS,field,normal,1,RPS,34,runs,AB Dinda,AY Dandekar
599,Delhi,2016-04-27,GL,DD,DD,field,normal,0,GL,1,runs,CH Morris,M Erasmus
600,Mumbai,2016-04-28,KKR,MI,MI,field,normal,0,MI,6,wickets,RG Sharma,Nitin Menon
601,Pune,2016-04-29,RPS,GL,GL,field,normal,0,GL,3,wickets,DR Smith,CB Gaffaney
602,Delhi,2016-04-30,DD,KKR,KKR,field,normal,0,DD,27,runs,CR Brathwaite,KN Ananthapadmanabhan
603,Hyderabad,2016-04-30,SRH,RCB,RCB,field,normal,0,SRH,15,runs,DA Warner,AK Chaudhary
604,Rajkot,2016-05-01,KXIP,GL,GL,field,normal,0,KXIP,23,runs,AR Patel,BNJ Oxenford
605,Pune,2016-05-01,RPS,MI,MI,field,normal,0,MI,8,wickets,RG Sharma,AY Dandekar
606,Bangalore,2016-05-02,RCB,KKR,KKR,field,normal,0,KKR,5,wickets,AD Russell,M Erasmus
607,Rajkot,2016-05-03,GL,DD,DD,field,normal,0,DD,8,wickets,RR Pant,CB Gaffaney
608,Kolkata,2016-05-04,KKR,KXIP,KXIP,field,normal,0,KKR,7,runs,AD Russell,AK Chaudhary
609,Delhi,2016-05-05,DD,RPS,RPS,field,normal,0,RPS,7,wickets,AM Rahane,C Shamshuddin
610,Hyderabad,2016-05-06,GL,SRH,SRH,field,normal,0,SRH,5,wickets,B Kumar,M Erasmus
611,Bangalore,2016-05-07,RPS,RCB,RCB,field,normal,0,RCB,7,wickets,V Kohli,CB Gaffaney
612,Chandigarh,2016-05-07,KXIP,DD,DD,field,normal,0,KXIP,9,runs,MP Stoinis,HDPK Dharmasena
613,Visakhapatnam,2016-05-08,SRH,MI,MI,field,normal,0,SRH,85,runs,A Nehra,S Ravi
614,Kolkata,2016-05-08,KKR,GL,GL,field,normal,0,GL,5,wickets,P Kumar,M Erasmus
615,Chandigarh,2016-05-09,RCB,KXIP,KXIP,field,normal,0,RCB,1,runs,SR Watson,AK Chaudhary
616,Visakhapatnam,2016-05-10,SRH,RPS,SRH,bat,normal,0,SRH,4,runs,A Zampa,CB Gaffaney
617,Bangalore,2016-05-11,RCB,MI,MI,field,normal,0,MI,6,wickets,KH Pandya,AY Dandekar
618,Hyderabad,2016-05-12,SRH,DD,DD,field,normal,0,DD,7,wickets,CH Morris,K Bharatan
619,Visakhapatnam,2016-05-13,MI,KXIP,MI,bat,normal,0,KXIP,7,wickets,MP Stoinis,HDPK Dharmasena
620,Bangalore,2016-05-14,RCB,GL,GL,field,normal,0,RCB,144,runs,AB de Villiers,AY Dandekar
621,Kolkata,2016-05-14,RPS,KKR,RPS,bat,normal,1,KKR,8,wickets,YK Pathan,A Nand Kishore
622,Chandigarh,2016-05-15,KXIP,SRH,KXIP,bat,normal,0,SRH,7,wickets,HM Amla,KN Ananthapadmanabhan
623,Visakhapatnam,2016-05-15,MI,DD,DD,field,normal,0,MI,80,runs,KH Pandya,Nitin Menon
624,Kolkata,2016-05-16,KKR,RCB,RCB,field,normal,0,RCB,9,wickets,V Kohli,CB Gaffaney
625,Visakhapatnam,2016-05-17,DD,RPS,RPS,field,normal,1,RPS,19,runs,AB Dinda,Nitin Menon
626,Bangalore,2016-05-18,RCB,KXIP,KXIP,field,normal,1,RCB,82,runs,V Kohli,KN Ananthapadmanabhan
627,Kanpur,2016-05-19,KKR,GL,GL,field,normal,0,GL,6,wickets,DR Smith,AK Chaudhary
628,Raipur,2016-05-20,SRH,DD,DD,field,normal,0,DD,6,wickets,KK Nair,A Nand Kishore
629,Visakhapatnam,2016-05-21,KXIP,RPS,KXIP,bat,normal,0,RPS,4,wickets,MS Dhoni,HDPK Dharmasena
630,Kanpur,2016-05-21,MI,GL,GL,field,normal,0,GL,6,wickets,SK Raina,AK Chaudhary
631,Kolkata,2016-05-22,KKR,SRH,SRH,field,normal,0,KKR,22,runs,YK Pathan,KN Ananthapadmanabhan
632,Raipur,2016-05-22,DD,RCB,RCB,field,normal,0,RCB,6,wickets,V Kohli,A Nand Kishore
633,Bangalore,2016-05-24,GL,RCB,RCB,field,normal,0,RCB,4,wickets,AB de Villiers,AK Chaudhary
634,Delhi,2016-05-25,SRH,KKR,KKR,field,normal,0,SRH,22,runs,MC Henriques,M Erasmus
635,Delhi,2016-05-27,GL,SRH,SRH,field,normal,0,SRH,4,wickets,DA Warner,M Erasmus
636,Bangalore,2016-05-29,SRH,RCB,SRH,bat,normal,0,SRH,8,runs,BCJ Cutting,HDPK Dharmasena
